ax,ay,az,omega_x,omega_y,omega_z
0.21027,0.25842,9.6434,-0.0025,-0.0031,-0.0055
0.21176,0.24018,9.6655,-0.0008,-0.0034,-0.005
0.21416,0.26022,9.6434,-0.0012,-0.005,-0.0036
0.20578,0.27398,9.6461,0.001,-0.0046,-0.0053
0.20728,0.25304,9.6356,0.0013,-0.0057,-0.0039
0.22373,0.26082,9.6293,-0.0002,-0.0045,-0.0047
0.21087,0.24736,9.6544,-0.0015,-0.0047,-0.0032
0.23151,0.26022,9.6464,-0.0015,0.0063,-0.0063
0.21715,0.24197,9.6574,-0.0011,-0.0023,-0.0055
0.19531,0.24945,9.6455,-0.0021,-0.0054,-0.004
0.19113,0.26291,9.644,-0.0026,-0.0052,-0.005
0.22911,0.25693,9.635,0.0011,-0.0026,-0.005
0.21326,0.24646,9.6359,-0.0009,-0.0047,-0.004
0.22851,0.27936,9.6595,-0.0008,-0.0058,-0.0066
0.21655,0.25244,9.6497,-0.0015,-0.005,-0.0039
0.21864,0.24407,9.6153,0.0008,-0.005,-0.004
0.19322,0.25932,9.6562,-0.0009,-0.0035,-0.0067
0.20818,0.2333,9.6437,-0.0004,-0.0062,-0.0044
0.19083,0.27159,9.6275,-0.0001,-0.0027,-0.0047
0.23091,0.24467,9.6661,-0.0004,-0.0046,-0.0057
0.20279,0.29761,9.6221,-0.0007,-0.0019,-0.0073
0.21924,0.20937,9.6625,-0.0005,-0.0021,-0.0047
0.23539,0.25244,9.6302,-0.0005,-0.0033,-0.0054
0.20219,0.2653,9.6341,-0.0003,-0.0048,-0.006
0.21655,0.24885,9.6392,-0.0022,-0.005,-0.0054
0.18664,0.2659,9.6526,-0.0002,-0.0042,-0.006
0.21476,0.24885,9.6341,0.0025,-0.0041,-0.0038
0.23121,0.26919,9.6598,0.0014,-0.002,-0.0044
0.23061,0.25513,9.6431,-0.0003,-0.0047,-0.0041
0.21206,0.24915,9.6425,0.0006,-0.0037,-0.0043
0.21117,0.26321,9.6509,-0.0004,-0.0032,-0.0046
0.21954,0.25693,9.629,-0.0012,-0.0022,-0.0033
0.233,0.27069,9.6532,-0.0028,-0.003,-0.0049
0.1995,0.25663,9.6601,0.001,-0.0044,-0.0018
0.21386,0.28146,9.6174,0.0013,-0.0027,-0.0029
0.21296,0.24706,9.6263,-0.0004,-0.0025,-0.0039
0.20847,0.26291,9.6392,-0.0001,-0.0051,-0.0043
0.20369,0.26082,9.6347,0,-0.0029,-0.0047
0.2016,0.23958,9.6556,-0.0021,-0.0034,-0.005
0.22582,0.24796,9.6419,-0.0001,-0.0049,-0.0033
0.22911,0.27398,9.6449,0.0002,-0.0043,-0.0048
0.22283,0.25783,9.6482,0.0004,-0.0042,-0.0037
0.21984,0.2674,9.6263,-0.0003,-0.0058,-0.0045
0.21147,0.23719,9.6248,0.0001,-0.0044,-0.0041
0.20758,0.2662,9.6437,-0.0002,-0.0039,-0.005
0.2348,0.25573,9.6404,-0.0011,-0.0036,-0.0026
0.22104,0.27308,9.6317,-0,-0.004,-0.0018
0.22612,0.27368,9.6553,0.0013,-0.004,-0.0046
0.19621,0.26231,9.652,-0.0017,-0.0048,-0.0054
0.19531,0.27218,9.6506,0.0006,-0.0028,-0.0059
0.20907,0.25184,9.6443,-0.0001,-0.0038,-0.0057
0.21236,0.27218,9.644,-0.0019,-0.0047,-0.0032
0.23958,0.2668,9.6245,-0.0008,-0.0022,-0.0044
0.21057,0.24586,9.6574,-0.0016,-0.0057,-0.005
0.2004,0.24526,9.6655,0.0017,-0.0044,-0.0057
0.19531,0.25603,9.6452,0.001,-0.0033,-0.005
0.21027,0.25035,9.6526,0.001,-0.0037,-0.0062
0.22343,0.26261,9.6182,0.0008,-0.0037,-0.0035
0.24197,0.24885,9.6592,-0.0019,-0.0042,-0.0053
0.22074,0.26321,9.6296,0.0009,-0.0045,-0.0035
0.21864,0.26022,9.6467,-0.0003,-0.0031,-0.0042
0.21476,0.2653,9.6449,0.0001,-0.0048,-0.0059
0.20698,0.25663,9.6562,0.0002,-0.005,-0.0028
0.23569,0.27069,9.6296,-0.0017,-0.0029,-0.0042
0.2013,0.24616,9.6598,-0.0005,-0.0022,-0.0057
0.21595,0.25304,9.6413,-0.0003,-0.0037,-0.0063
0.2318,0.26142,9.6643,0.0008,-0.0039,-0.0033
0.22582,0.25214,9.6353,0.0011,-0.0033,-0.0031
0.20429,0.27398,9.6371,0.0024,-0.0045,-0.0047
0.21416,0.24347,9.6568,-0.0013,-0.0046,-0.0044
0.21745,0.25513,9.6404,-0.0004,-0.0048,-0.0045
0.19502,0.26859,9.6509,-0.0001,-0.004,-0.0056
0.22223,0.25992,9.6338,0.0021,-0.0052,-0.0027
0.20937,0.268,9.6344,-0.0007,-0.0032,-0.0036
0.20578,0.24407,9.62,-0.0004,-0.0026,-0.0073
0.21027,0.26231,9.6413,-0.0006,-0.0055,-0.0031
0.19143,0.25633,9.6526,-0.0011,-0.0018,-0.0047
0.1995,0.27129,9.6503,-0.0008,-0.0036,-0.0045
0.20309,0.25992,9.6529,-0,-0.0054,-0.004
0.22971,0.25902,9.67,0.0004,-0.0034,-0.0051
0.21386,0.26291,9.6272,0.0004,-0.003,-0.0055
0.20638,0.24317,9.638,0.0023,-0.0042,-0.0054
0.20548,0.25992,9.6473,0.0002,-0.0067,-0.0039
0.21655,0.24706,9.6473,0,-0.0027,-0.0042
0.21027,0.28235,9.6165,-0.0003,-0.004,-0.0054
0.22373,0.25035,9.6323,-0.0008,-0.0041,-0.0042
0.23898,0.24437,9.6449,-0.0012,-0.0028,-0.0046
0.2345,0.24736,9.6317,0.001,-0.004,-0.006
0.19651,0.24945,9.6547,-0.001,-0.0036,-0.0046
0.2007,0.25484,9.6293,0.0019,-0.0049,-0.0046
0.20877,0.27099,9.6305,-0.0003,-0.0048,-0.0054
0.19561,0.24407,9.6314,-0.0007,-0.005,-0.0076
0.23031,0.23779,9.6404,-0.0013,-0.0029,-0.0045
0.21535,0.26859,9.6517,-0,-0.0028,-0.0052
0.23091,0.26112,9.6305,-0.0008,-0.0043,-0.0032
0.23001,0.26052,9.6491,0.0007,-0.0031,-0.0023
0.18993,0.25992,9.6479,0.0007,-0.0024,-0.0049
0.22522,0.26052,9.6422,0.0005,-0.0018,-0.003
0.21356,0.26471,9.6437,0.0002,-0.0038,-0.0057
0.21326,0.25962,9.6362,-0.0025,-0.0053,-0.004
0.21057,0.268,9.6526,0.0005,-0.0062,-0.0033
0.18275,0.25274,9.6685,-0.0011,-0.003,-0.0045
0.23001,0.25992,9.6347,0.0003,-0.0061,-0.0028
0.21625,0.25543,9.6553,-0.0005,-0.002,-0.003
0.20518,0.25663,9.6371,-0.0014,-0.0035,-0.0049
0.21117,0.25155,9.6102,-0.0019,-0.0023,-0.004
0.20638,0.23091,9.641,-0.002,-0.0033,-0.0043
0.22582,0.25663,9.6574,0.0003,-0.0052,-0.004
0.21206,0.25364,9.6138,-0.0015,-0.0028,-0.0054
0.19651,0.24467,9.6691,-0.0005,-0.0002,-0.0052
0.22104,0.26501,9.6541,-0.0003,-0.0057,-0.0037
