ax,ay,az,omega_x,omega_y,omega_z
0.22343,0.25035,9.6269,0.0009,-0.0047,-0.0047
0.21894,0.26471,9.6395,0,-0.0049,-0.0032
0.21236,0.27248,9.6565,-0.0011,-0.0036,-0.0043
0.22343,0.27188,9.6592,-0.0021,-0.0042,-0.0043
0.22313,0.24616,9.6514,-0.0014,-0.0063,-0.0043
0.21236,0.25513,9.6302,0.0005,-0.0035,-0.0023
0.21505,0.26171,9.6365,0.0005,-0.0039,-0.0021
0.19801,0.25992,9.6105,-0.0003,-0.0041,-0.0035
0.22134,0.24317,9.6365,-0.0026,-0.004,-0.0025
0.1995,0.26112,9.6227,0.0003,-0.0031,-0.0028
0.2318,0.26112,9.6437,-0.0001,-0.0031,-0.0037
0.2004,0.27248,9.6383,0.0022,-0.0047,-0.0057
0.23749,0.26351,9.6419,0.0002,-0.0062,-0.005
0.21505,0.25902,9.6515,0.0005,-0.0036,-0.0048
0.19053,0.26321,9.6392,0.001,-0.0039,-0.0037
0.20548,0.24497,9.6754,-0.003,-0.003,-0.0048
0.21505,0.24676,9.6559,-0.0008,-0.0055,-0.005
0.22493,0.25633,9.6428,0.0015,-0.0038,-0.0037
0.19651,0.25573,9.6413,-0.0009,-0.0035,-0.0041
0.2001,0.24796,9.658,-0.0003,-0.0049,-0.0039
0.20668,0.27906,9.626,0.001,-0.0024,-0.0039
0.1995,0.25005,9.6515,-0.0006,-0.006,-0.0048
0.22193,0.24616,9.6335,-0.001,-0.0038,-0.0015
0.20847,0.25065,9.6371,0.0007,-0.0044,-0.0043
0.19202,0.25125,9.6197,0.0014,-0.0049,-0.003
0.23121,0.25783,9.6512,0.0004,-0.0032,-0.0049
0.24646,0.25932,9.6497,-0.0033,-0.0034,-0.0036
0.22881,0.25902,9.6437,-0.0006,-0.0045,-0.0052
0.22193,0.25932,9.6565,-0.0011,-0.0018,-0.0023
0.22134,0.2665,9.6452,-0.0019,-0.0043,-0.0044
0.18425,0.25274,9.6302,-0.0012,-0.0018,-0.0045
0.22134,0.24526,9.6287,-0.0013,-0.0034,-0.005
0.21356,0.25962,9.6452,0.0018,-0.0016,-0.0025
0.21236,0.25573,9.6532,-0.0003,-0.0032,-0.0039
0.22403,0.25244,9.644,-0.0003,-0.004,-0.0033
0.21805,0.26351,9.6625,-0.0007,-0.0032,-0.0068
0.20518,0.23988,9.6479,0.0016,-0.0051,-0.004
0.23121,0.27278,9.6239,0,-0.0049,-0.0047
0.21087,0.24018,9.635,0.0013,-0.0027,-0.0056
0.22343,0.25962,9.6515,-0.0012,-0.0045,-0.004
0.201,0.25184,9.6323,-0.0006,-0.005,-0.0055
0.21745,0.26052,9.6535,-0.0042,-0.0037,-0.0046
0.21087,0.25454,9.6356,-0.0003,-0.003,-0.0023
0.22313,0.268,9.6595,-0.0003,-0.0035,-0.0038
0.2013,0.26082,9.6509,-0.0016,-0.0038,-0.0034
0.22881,0.24227,9.6311,0.0002,-0.0039,-0.0046
0.21266,0.24796,9.6529,-0.0015,-0.0033,-0.0024
0.21535,0.26291,9.632,-0.0021,-0.0042,-0.0031
0.22223,0.25902,9.6458,0,-0.0019,-0.0061
0.22014,0.23868,9.6284,0.0008,-0.0029,-0.0043
0.2016,0.25723,9.6476,-0.0006,-0.0026,-0.0025
0.22702,0.268,9.6461,-0.001,-0.0042,-0.0046
0.20518,0.27129,9.6497,-0.0011,-0.0042,-0.0011
0.20608,0.2659,9.6365,-0.0009,-0.003,-0.0057
0.21057,0.2677,9.6643,-0.0003,-0.001,-0.005
0.23749,0.29521,9.6523,0,-0.0025,-0.005
0.19531,0.25723,9.6203,-0.0002,-0.0043,-0.0025
0.22193,0.2665,9.6461,-0.0008,-0.0034,-0.0019
0.2004,0.24945,9.6637,0.0003,-0.0042,-0.004
0.24078,0.24138,9.6763,-0.0015,-0.0031,-0.0032
0.21087,0.2668,9.6203,-0.0018,-0.0057,-0.0054
0.19591,0.24855,9.6254,0.0001,-0.0064,-0.0032
0.19621,0.26381,9.638,0.0002,-0.0035,-0.005
0.22343,0.26859,9.652,0.0009,-0.0036,-0.0058
0.2321,0.24377,9.6329,-0.0001,-0.0043,-0.0042
0.21296,0.26082,9.6428,-0.0015,-0.0048,-0.0024
0.23001,0.27398,9.6739,0.0006,-0.0022,-0.0059
0.18245,0.24108,9.661,-0.0012,-0.0042,-0.0037
