t,lsm0_x,lsm0_y,lsm0_z,lsm1_x,lsm1_y,lsm1_z,i3g0_x,i3g0_y,i3g0_z,i3g1_x,i3g1_y,i3g1_z,fused_x,fused_y,fused_z,mag_x,mag_y,mag_z
0.464260101318359,-0.006,-0.017,0.004,0.015,0.013,0.007,0.012,0.026,-0.007,0.019,0.031,-0.007,0.01,0.013,-0.001,-3.7658e-07,1.1372e-06,2.3776e-06
0.604510068893433,0.036,-0.085,-0.142,0.026,-0.13,-0.142,0.035,-0.113,-0.114,0.048,-0.112,-0.093,0.036,-0.11,-0.123,-1.3432e-06,5.3286e-06,2.9732e-06
1.40319323539734,-0.013,-0.015,-0.025,-0.021,-0.023,-0.025,-0.015,-0.004,-0.038,-0.001,-0.004,-0.03,-0.012,-0.011,-0.03,1.8776e-06,-1.137e-06,-4.8771e-07
2.26414203643799,-0.012,-0.01,0.001,-0.019,-0.01,0.001,-0.023,-0.002,-0.014,-0.016,0.01,-0.008,-0.017,-0.003,-0.005,-2.4873e-06,9.2259e-06,1.3324e-06
3.14483213424683,-0.014,-0.002,-0.001,-0.015,-0.003,-0.004,-0.024,-0.005,-0.021,-0.015,-0.003,-0.02,-0.017,-0.003,-0.012,-9.9487e-06,6.2991e-06,8.0296e-06
3.76490902900696,-0.015,-0.003,0.002,-0.012,-0.018,0.002,-0.018,-0.003,-0.014,-0.013,-0.007,-0.009,-0.015,-0.007,-0.005,-2.1894e-06,9.0158e-07,1.8712e-06
4.61803102493286,-0.016,-0.007,-0.001,0.006,0.007,-0,0.002,0.008,-0.017,0.013,0.01,-0.012,0.001,0.004,-0.008,4.1884e-06,4.9265e-06,2.5989e-06
5.38643217086792,0.006,0.007,-0.003,0.004,-0.008,0.002,-0.015,-0.014,-0.01,-0.004,-0.009,-0.01,-0.002,-0.006,-0.005,-6.3749e-07,-2.9363e-07,-6.7355e-06
6.23879718780518,-0.006,-0.002,-0.001,0.005,-0.004,0.007,-0.011,0.004,-0.014,0.004,0.006,-0.008,-0.002,0.001,-0.004,-4.624e-06,8.3191e-06,4.2856e-06
6.86651301383972,-0.016,-0.002,-0.005,0.007,-0.001,0.004,-0.026,0.004,-0.019,-0.011,0.001,-0.017,-0.012,0.001,-0.009,-6.2332e-07,1.1656e-06,-9.1309e-07
7.76185512542725,0.002,-0.009,0.005,0.016,0.013,0.008,0.01,0.003,-0.011,0.016,-0.002,-0.003,0.011,0.001,-0,-2.7371e-06,-1.9999e-06,-3.6883e-06
8.41084122657776,-0.008,-0.005,0.006,0.011,0.005,0.012,-0.014,-0.007,-0.01,-0.001,-0.006,-0.004,-0.003,-0.003,0.001,-1.1198e-06,5.9819e-06,1.2197e-06
9.37022185325623,0.004,0.001,0.002,0.004,-0.001,0.004,-0.003,0.009,-0.028,0.011,0.013,-0.013,0.004,0.005,-0.008,-4.3965e-07,2.0944e-06,3.8833e-06
9.93856906890869,-0.027,-0.007,-0.017,-0.009,-0,-0.008,-0.01,-0.007,-0.033,-0.005,-0.006,-0.02,-0.013,-0.005,-0.019,2.3571e-06,9.923e-06,4.1798e-06
10.7695262432098,-0.007,-0.009,-0.005,0.005,-0.004,0.002,-0.009,-0.01,-0.019,-0.001,-0.007,-0.014,-0.003,-0.008,-0.009,-4.659e-06,5.3668e-06,7.9117e-06
11.5883212089539,0.011,-0.001,0.003,0.014,0.001,0.008,-0.009,-0.015,0.011,0.007,-0.019,0.014,0.006,-0.009,0.009,-8.3602e-07,4.6047e-06,5.5754e-06
12.4138090610504,-0.004,-0.019,-0.008,0.004,-0.019,-0.003,-0.005,-0.014,-0.031,0.006,-0.022,-0.023,0,-0.018,-0.016,6.1727e-07,6.1031e-06,-4.1827e-06
13.1242451667786,-0.011,-0.001,-0.003,-0.005,0.001,0.001,-0.016,-0.006,-0.013,-0.009,0,-0.005,-0.01,-0.001,-0.005,2.2725e-07,3.0603e-06,-5.55e-07
13.9659950733185,-0.016,0.005,-0.021,-0.007,0.009,-0.013,-0.008,0.003,-0.02,-0.003,0.014,-0.018,-0.008,0.008,-0.018,-1.9121e-06,4.8949e-06,2.1325e-06
14.563502073288,-0.002,0.006,-0.006,0.005,0.001,-0.003,-0.002,0,-0.013,0.01,-0.009,0.001,0.003,-0.001,-0.005,-4.7241e-06,1.3268e-06,-4.1275e-06
15.4542791843414,-0.013,0.002,-0,0.001,0.002,0.005,-0.026,-0.003,-0.01,-0.011,-0.006,0.002,-0.012,-0.001,-0.001,-2.4952e-06,6.8637e-06,-6.357e-06
16.3116190433502,-0.003,0.013,-0.007,-0.002,-0.002,-0.002,-0.004,-0.006,-0.024,0.007,-0,-0.022,-0,0.001,-0.014,-5.594e-06,6.3868e-06,1.6507e-07
16.8508460521698,-0.001,-0.009,-0.008,0.01,-0.011,-0,0.001,0.003,-0.018,0.014,0.006,-0.01,0.006,-0.003,-0.009,-4.8666e-06,5.9582e-06,2.3794e-06
17.8087260723114,0.01,-0.002,-0.002,0.014,-0.014,-0.001,0.003,0.003,-0.013,0.016,0.014,-0,0.011,0,-0.004,7.4181e-07,9.8954e-07,2.657e-06
18.4245281219482,-0.006,0.002,-0.007,-0,-0.003,0.003,-0.008,-0.002,-0.01,-0.004,-0.005,-0.002,-0.005,-0.002,-0.004,-6.8239e-06,6.0726e-06,1.716e-06
