t,lsm0_x,lsm0_y,lsm0_z,lsm1_x,lsm1_y,lsm1_z,i3g0_x,i3g0_y,i3g0_z,i3g1_x,i3g1_y,i3g1_z,fused_x,fused_y,fused_z,mag_x,mag_y,mag_z
0.431701898574829,-0.039,-0.011,-0.121,-0.038,-0.002,-0.102,-0.048,0.015,-0.145,-0.037,0.017,-0.127,-0.041,0.005,-0.124,-5.9132e-06,-1.6529e-05,-3.1525e-06
0.91990065574646,0.096,0.061,0.398,0.11,0.057,0.342,0.062,0.057,0.373,0.07,0.063,0.351,0.085,0.06,0.366,5.5999e-06,-1.1109e-05,1.2551e-05
1.52988290786743,0.004,0.014,0.019,-0.002,0.021,0.019,-0.009,0.024,0.014,0.001,0.031,0.02,-0.002,0.023,0.018,2.5419e-06,-9.518e-06,4.8174e-06
2.34239387512207,0.011,-0.001,-0.011,0.017,-0.004,-0.009,0.004,-0.001,-0.03,0.008,-0.001,-0.015,0.01,-0.002,-0.016,-1.6064e-06,-1.0802e-05,1.9628e-07
3.11213493347168,-0.002,-0.02,0.007,0.006,-0.014,0.01,-0.005,0.004,-0.006,0.008,0.001,0.001,0.002,-0.007,0.003,-1.7669e-06,-8.798e-06,7.1519e-07
3.90182375907898,0.008,-0.002,-0.003,0.014,-0.002,0.001,-0.009,-0.016,-0.029,0.003,-0.011,-0.018,0.004,-0.008,-0.012,-1.7834e-06,-9.291e-06,1.7846e-06
4.7086238861084,-0.01,-0.013,-0.01,0,-0.008,-0.006,-0.028,-0.005,-0.015,-0.017,0.002,-0.001,-0.014,-0.006,-0.008,-7.0231e-07,-1.047e-05,-3.9576e-07
5.51631379127502,0.01,0.001,-0.002,0.02,0.006,0.003,0,0.005,-0.006,0.01,0.006,0.001,0.01,0.004,-0.001,1.4295e-06,-1.2685e-05,5.7457e-06
6.16664385795593,-0.004,0.006,0.006,-0,-0.001,0.008,-0.007,0.012,-0.018,0.002,0.022,-0.003,-0.002,0.01,-0.002,9.773e-07,-8.5146e-06,1.6578e-06
7.03345990180969,-0.006,0.001,0.001,-0.004,-0.009,0.004,-0.004,-0.006,-0.014,0.007,-0.005,-0.005,-0.002,-0.004,-0.004,-1.4985e-06,-1.3709e-05,-1.0942e-06
7.86939263343811,0,0.007,0.01,0.007,0.004,0.011,-0.007,-0.022,-0.024,0.013,-0.018,-0.019,0.003,-0.007,-0.006,1.0843e-07,-9.6949e-06,4.7729e-06
8.51309490203857,-0.009,-0.022,0.008,0.009,-0.01,0.015,-0.014,-0.004,-0.006,-0.011,-0.011,-0.008,-0.006,-0.012,0.002,7.4589e-07,-1.3452e-05,-5.8761e-07
9.26427483558655,-0.007,0.015,0.012,-0.002,-0.009,0.01,-0.017,-0.011,-0.005,-0.006,-0.014,0.002,-0.008,-0.005,0.004,5.1259e-06,-1.2887e-05,9.5612e-06
10.0695400238037,-0.001,0.016,-0.001,0.004,0.013,0.006,-0.011,-0.004,-0.032,0.005,-0.003,-0.023,-0.001,0.005,-0.012,-1.3079e-06,-1.2697e-05,-9.6597e-06
10.8298227787018,-0.012,0.01,0.006,-0.01,0.006,0.009,-0.007,0.009,-0.009,0.006,0.005,-0.005,-0.006,0.007,0,-1.6784e-06,-1.164e-05,-1.2826e-05
11.7410299777985,-0.005,0.002,0.009,0.011,0.019,0.005,0.009,0.026,-0.022,0.019,0.025,-0.012,0.009,0.018,-0.005,-1.206e-06,-1.005e-05,6.9246e-07
12.4278297424316,-0.003,0.007,-0.004,0.008,0.002,-0.001,-0.015,-0.003,0.003,-0.003,-0.003,0.011,-0.003,0.001,0.002,1.3445e-06,-7.261e-06,7.3134e-06
13.1472027301788,-0.008,-0.012,-0.008,0.004,-0.006,0.003,-0.011,-0.003,-0.017,-0.002,-0.007,-0.01,-0.004,-0.007,-0.008,-8.041e-06,-1.5209e-05,-1.8682e-06
13.9164748191833,-0.011,0.006,0.002,0.01,0.008,0.002,-0.002,0.019,-0.038,0.009,0.023,-0.028,0.001,0.014,-0.016,5.3234e-06,-1.1437e-05,1.2116e-05
14.6908557415009,-0,0.01,0.015,-0.002,0.004,0.015,-0.003,0.01,-0.017,0.012,0.012,-0.014,0.002,0.009,-0,-1.8481e-06,-1.031e-05,-6.8192e-06
15.5015189647675,-0.002,0.017,0.005,0.01,0.016,0.006,-0.007,0.012,-0.034,0.007,0.011,-0.017,0.002,0.014,-0.01,3.381e-07,-1.2553e-05,3.2297e-06
16.2465598583221,-0.008,-0.009,-0.018,-0.008,-0.007,-0.007,-0.03,-0.013,-0.005,-0.01,-0.015,0,-0.014,-0.011,-0.008,7.4997e-06,-6.7105e-06,3.6236e-06
17.0090539455414,-0.001,0.009,0.012,0.016,0.023,0.02,0.002,0.019,0.007,0.016,0.028,0.013,0.008,0.02,0.013,-4.1005e-06,-7.5612e-06,2.5497e-06
17.8574788570404,-0.001,0.002,-0.009,0.002,-0.001,-0.001,-0.009,-0,-0.018,0.007,-0.001,-0.009,-0,-0,-0.009,3.9068e-06,-1.482e-05,2.5663e-06
18.729142665863,0.001,-0.001,-0.003,0.009,0.003,0.005,0.008,0.008,-0.01,0.02,0.014,0,0.01,0.006,-0.002,1.5435e-06,-6.687e-06,3.9497e-06
