t,lsm0_x,lsm0_y,lsm0_z,lsm1_x,lsm1_y,lsm1_z,i3g0_x,i3g0_y,i3g0_z,i3g1_x,i3g1_y,i3g1_z,fused_x,fused_y,fused_z,mag_x,mag_y,mag_z
0.600749969482422,0.01,-0.015,-0.13,0.016,-0.019,-0.109,0.004,-0.014,-0.15,0.022,-0.013,-0.14,0.013,-0.015,-0.132,3.0235e-05,4.6177e-06,1.059e-07
0.63609504699707,0.076,0.024,-0.255,0.069,-0.022,-0.289,0.053,-0.077,-0.481,0.074,-0.075,-0.443,0.068,-0.038,-0.367,2.9871e-05,2.6687e-07,-4.2047e-06
1.4844331741333,0.016,-0.002,0.033,-0.008,-0.014,0.031,-0.043,-0.032,0.024,-0.026,-0.03,0.034,-0.015,-0.019,0.03,2.3879e-05,5.7709e-06,-6.3961e-06
2.28468108177185,-0.013,-0.007,0.033,0.007,-0.009,0.019,-0.02,-0.01,0.025,-0.017,-0.01,0.021,-0.011,-0.009,0.024,2.487e-05,3.2073e-06,-7.9583e-07
3.04811310768127,-0.008,-0.008,0.017,0.002,0.004,0.016,0.006,-0.007,-0.014,0.023,-0.009,0.002,0.006,-0.005,0.005,2.9633e-05,4.6393e-07,-5.0923e-06
3.86921215057373,-0.003,0.011,0.002,0.006,0.009,0,0.001,0.011,-0.023,0.013,0.014,-0.012,0.004,0.011,-0.008,2.5295e-05,1.0967e-06,-3.4327e-06
4.57664108276367,0.002,0.007,0.006,-0.009,-0.001,0.014,0.003,-0.006,-0.015,0.02,-0.013,-0.009,0.004,-0.003,-0.001,2.5106e-05,6.5459e-06,-2.2378e-08
5.37127614021301,0.014,0.012,-0,0.011,-0.001,0.001,0.005,0.027,-0.011,0.016,0.02,-0.008,0.012,0.015,-0.004,1.9163e-05,1.8215e-06,-3.1633e-06
6.31266689300537,0.005,0.002,0.003,0.001,0.001,0.011,-0.022,-0.01,0.012,-0.008,-0.023,0.006,-0.006,-0.008,0.008,3.1605e-05,7.9e-06,-4.5959e-06
6.8099250793457,-0.044,0.015,-0.035,-0.053,0.007,-0.024,-0.068,0.014,-0.059,-0.056,0.01,-0.051,-0.055,0.012,-0.042,2.3533e-05,4.1375e-06,-9.6546e-06
7.58580994606018,0.026,0.014,0.023,0.027,0.012,0.023,-0.018,0.026,0.006,-0.005,0.023,0.014,0.007,0.019,0.017,2.8085e-05,4.455e-06,-3.0307e-06
